Título del vídeo,Visualizaciones,Porcentaje de clics de las impresiones (%),Med Juego Compartido,Med Horas vistas Juego,Med Impresiones Juego,Med porcentaje clicks Impresiones Juego,Med Visualizaciones Juego,Med Suscriptores Juego,Med Visualizaciones Año,Visualizaciones necesarias para suscribirse al canal,Visualizaciones necesarias para compartir el video
Raid nocturno - Ark ep. 24,112,1.78,1.9787234042553192,55.4977,999.3404255319148,3.4631914893617024,737.468085106383,1.5106382978723405,244.6590909090909,112.0,112.0
Buena partida LoL 8,29,1.8,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1145.3,0.0,0.0
EPIC ASHE SUPPORT | HIGHLIGHTS | TESTING #2,107,1.01,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,327.9764705882353,0.0,53.5
Esparta #47,36,0.87,2.8615384615384616,14.001944615384616,4670.507692307692,2.23,793.1846153846154,0.7846153846153846,88.5,0.0,36.0
Gran España - Europa Universalis IV #3 || GUERRA CONTRA GRANADA,217,3.91,0.4,8.035069333333333,867.2,2.9804,129.6,0.2,1145.3,0.0,0.0
LTS RAKAN POTENTIAL - LoL Random Highlights ep. 3,50,1.24,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,327.9764705882353,0.0,0.0
Una de agar.io con foris #1,40,0.92,0.25,2.59775,117.25,0.4325,83.5,0.0,1145.3,0.0,0.0
Why no montage on 14th July? It's a betrayal! - Trailer Thresh Montage #2,76,1.87,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,421.21875,0.0,0.0
BETA TOURNAMENT 2 -  Team LAZIO 78 [LRT] - Day 1 - League of Legends,226,2.01,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,327.9764705882353,0.0,226.0
COALICIÓN HISPÁNICA #8 | CAPITULO ESPECIAL CON MANUTEZ2009,164,9.83,0.4,8.035069333333333,867.2,2.9804,129.6,0.2,244.6590909090909,0.0,0.0
CoD MW2 Shots by Mbaka,370,1.15,3.142857142857143,2.9787,1025.2857142857142,2.447142857142857,313.57142857142856,4.285714285714286,1299.7551020408164,0.0,0.0
LoL Clash Highlights - Official Team Gainz Three to Four,41,0.88,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,174.2,0.0,41.0
Napoleón TW España 27 - Asedio de Londres,52,1.39,0.6818181818181818,4.698227272727273,2457.090909090909,2.146818181818181,85.06818181818181,0.4318181818181818,421.21875,0.0,0.0
Empire TW España Darthmod ep. 2,32,4.17,5.384615384615385,123.85656153846156,5924.153846153846,3.209230769230769,3685.923076923077,1.7692307692307692,174.2,0.0,0.0
LoL Highlights Today ep. 10 - Sion support 3 ft. Santanita,25,0.61,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,28.33333333333333,0.0,25.0
FIRST TIME RAKAN + CALUM FD VIDEO - LoL TEAM GAINZ,33,0.61,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,327.9764705882353,0.0,0.0
Esparta #25 - Guerra en Salamina,191,3.03,2.8615384615384616,14.001944615384616,4670.507692307692,2.23,793.1846153846154,0.7846153846153846,268.4634146341463,0.0,0.0
Pedrito por ahí... - LoL in 2015,41,1.65,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,421.21875,0.0,13.666666666666666
Coalición Hispánica #18 | COOPERATIVO CON MANUTEZ2009,43,1.46,0.4,8.035069333333333,867.2,2.9804,129.6,0.2,327.9764705882353,0.0,21.5
Esparta #29 [Parte 1] - Alejandría y Menfis,39,1.52,2.8615384615384616,14.001944615384616,4670.507692307692,2.23,793.1846153846154,0.7846153846153846,268.4634146341463,0.0,39.0
ATACANDO BASE DEL COORE - ARK SEASON 2017 #8,128,3.39,1.9787234042553192,55.4977,999.3404255319148,3.4631914893617024,737.468085106383,1.5106382978723405,327.9764705882353,0.0,0.0
Esparta #4 [Parte 2] - Preparando Éfeso,49,1.22,2.8615384615384616,14.001944615384616,4670.507692307692,2.23,793.1846153846154,0.7846153846153846,268.4634146341463,-49.0,0.0
Espartanos vs Mirmidones - Rome 2 Total War,8438,9.73,2.8615384615384616,14.001944615384616,4670.507692307692,2.23,793.1846153846154,0.7846153846153846,1145.3,767.0909090909091,703.1666666666666
My best thresh play ever? 1.5 kk maestry,430,1.95,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,0.0,430.0
Naval Action ep. 11 Renommee,458,4.1,4.181818181818182,97.90134545454544,5874.454545454545,5.493636363636363,760.1818181818181,3.3181818181818183,421.21875,229.0,229.0
Esparta #38 - Reina del Mediterráneo,33,1.08,2.8615384615384616,14.001944615384616,4670.507692307692,2.23,793.1846153846154,0.7846153846153846,268.4634146341463,-16.5,0.0
Esparta #37 - Esta es mi Λ,42,1.16,2.8615384615384616,14.001944615384616,4670.507692307692,2.23,793.1846153846154,0.7846153846153846,268.4634146341463,0.0,42.0
¡Hay que ser alistar torero! LoL 28,40,2.17,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,244.6590909090909,0.0,0.0
xPeke backdoor remember #leagueoflegends #lol #backdoor,1340,2.5,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,174.2,0.0,1340.0
SLAYED BY BASICS - TESTING #1,35,1.66,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,327.9764705882353,0.0,35.0
Aprovechando una tarde aburrida con hermanos y primas | Sirvo para The Walking Dead??,88,3.0,1.8,1.76096,2288.6,2.1700000000000004,242.6,0.4,1145.3,0.0,0.0
F1 Gran Premio de Australia - 1ª Carrera (McLaren-Honda),77,2.27,0.0,2.45762,2259.0,1.192,55.8,0.0,327.9764705882353,0.0,0.0
Coalición Hispánica #9 | COOPERATIVO CON MANUTEZ,65,2.37,0.4,8.035069333333333,867.2,2.9804,129.6,0.2,244.6590909090909,0.0,0.0
40ª partida League of Legends - Tic tac shockwave,39,0.0,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,244.6590909090909,0.0,0.0
51ª partida League of Legends - Kassadin OP LATE,38,0.44,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,244.6590909090909,0.0,38.0
Gran España - Europa Universalis IV #5 || ¡CASTILLA CONTRA 5 FACCIONES!,248,1.99,0.4,8.035069333333333,867.2,2.9804,129.6,0.2,1145.3,0.0,0.0
Madlife VS SirAlatriste Thresh hook #leagueoflegends #lol #support,238,2.82,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,174.2,119.0,0.0
Family Mannequin Challenge,36,0.96,1.8,1.76096,2288.6,2.1700000000000004,242.6,0.4,244.6590909090909,0.0,0.0
¿Hasta donde llegarías por Roma? #1 - Rome 2 Total War,101,5.06,2.8615384615384616,14.001944615384616,4670.507692307692,2.23,793.1846153846154,0.7846153846153846,1145.3,0.0,0.0
Napoleón TW España 15 - Liberación de Irlanda y Escocia,75,1.53,0.6818181818181818,4.698227272727273,2457.090909090909,2.146818181818181,85.06818181818181,0.4318181818181818,421.21875,75.0,25.0
Jugando al War Thunder #5 - Con manutez2009 (Aviones),32,0.83,1.2,1.21214,242.6,0.996,93.2,0.0,1145.3,0.0,0.0
"39ª partida League of Legends - Final Destroyer LoL (5:28,23:04, 29:38)",25,0.43,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,244.6590909090909,0.0,0.0
Coalicion Hispanica #25 - ARAGÓN CONQUISTA MANCHURIA,55,1.98,0.4,8.035069333333333,867.2,2.9804,129.6,0.2,327.9764705882353,0.0,55.0
LoL 66 TESTING TWISTED FATE BLOOD MOON FT. MONTZYZZ AND SIRGIO,33,1.35,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,327.9764705882353,0.0,0.0
Tribus Cherokee #9 - COLONIZANDO - Campaña cooperativa - EUIV,42,1.37,0.4,8.035069333333333,867.2,2.9804,129.6,0.2,421.21875,-42.0,0.0
Tribus Cherokee #6 - Campaña cooperativa - Europa Universalis,97,1.88,0.4,8.035069333333333,867.2,2.9804,129.6,0.2,327.9764705882353,0.0,97.0
Support o adc? LoL 15,74,1.61,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1145.3,-74.0,74.0
Insane thresh predict 1.5 kk maestry god,464,2.5,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,0.0,464.0
ATACANDO SERVER 432 DEL COORE - ARK SEASON 2017 #4,145,3.47,1.9787234042553192,55.4977,999.3404255319148,3.4631914893617024,737.468085106383,1.5106382978723405,327.9764705882353,0.0,0.0
fiddesticks penta insane almost,2328,1.75,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,2328.0,0.0
Coalición Hispánica #21 | COOPERATIVO CON MANUTEZ2009,48,1.13,0.4,8.035069333333333,867.2,2.9804,129.6,0.2,327.9764705882353,0.0,0.0
THRESH MONTAGE - SirAlatriste 600k Maestry,528,3.32,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,327.9764705882353,12.571428571428571,52.8
One For All Thresh 2 - League of Legends #72,25,0.84,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,421.21875,0.0,0.0
LoL alistar combo ft. team #shorts,1269,0.55,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,0.0,1269.0
World of Warships # 4 Probando el torpedero. Aún estoy verde...,40,2.68,0.1666666666666666,2.59405,177.66666666666666,2.515,58.5,-0.1666666666666666,1145.3,0.0,0.0
Empire TW España Darthmod ep. 4,74,2.25,5.384615384615385,123.85656153846156,5924.153846153846,3.209230769230769,3685.923076923077,1.7692307692307692,174.2,0.0,0.0
LoL Aram perfect combo for clash #shorts #leagueoflegends,1128,3.7,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,1128.0,0.0
Esparta #28 - Defensa de Jerusalén,66,1.68,2.8615384615384616,14.001944615384616,4670.507692307692,2.23,793.1846153846154,0.7846153846153846,268.4634146341463,0.0,22.0
Napoleón TW España 17 - Batalla contra Wellesley en Gales,56,1.49,0.6818181818181818,4.698227272727273,2457.090909090909,2.146818181818181,85.06818181818181,0.4318181818181818,421.21875,0.0,0.0
Napoleón TW España 3 - 1ª BATALLA de SICILIA,105,2.49,0.6818181818181818,4.698227272727273,2457.090909090909,2.146818181818181,85.06818181818181,0.4318181818181818,327.9764705882353,105.0,105.0
SCUBA Diving Megalodon - Ark ep. 6,285,2.06,1.9787234042553192,55.4977,999.3404255319148,3.4631914893617024,737.468085106383,1.5106382978723405,1145.3,0.0,0.0
Gran España - Europa Universalis IV #7 || CAMINO A LA GUERRA CIVIL,186,3.24,0.4,8.035069333333333,867.2,2.9804,129.6,0.2,244.6590909090909,186.0,0.0
THE PROS ;) - LoL Random Highlights ep. 2,57,1.22,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,327.9764705882353,0.0,0.0
"JHIN, YOU ARE NOT THE ONLY FLOWER",27,1.84,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,327.9764705882353,0.0,0.0
Betrayal Gameplay by Nacho Santana Tur,35,0.73,1.0,0.9547,2813.0,0.94,45.5,-0.5,421.21875,0.0,0.0
Gameplay 3 T-Rex - Ark ep. 3,187,3.16,1.9787234042553192,55.4977,999.3404255319148,3.4631914893617024,737.468085106383,1.5106382978723405,1145.3,187.0,93.5
Napoleon TW España 50 - Batalla por Suiza,54,1.62,0.6818181818181818,4.698227272727273,2457.090909090909,2.146818181818181,85.06818181818181,0.4318181818181818,174.2,0.0,54.0
Team ranked LoL 25,36,0.0,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1145.3,0.0,0.0
Esparta #39,28,1.09,2.8615384615384616,14.001944615384616,4670.507692307692,2.23,793.1846153846154,0.7846153846153846,268.4634146341463,-14.0,28.0
THRESH VAYNE - TG GAMING HOUSE,31,2.17,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,88.5,0.0,0.0
How we win third cup on LoL Clash - Official Team Gainz Two to Three matches,38,1.71,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,88.5,0.0,38.0
Montzyzz Birthday #2 - STAR WARS BATTLEFRONT -  Gaming House 2017,57,1.71,0.5714285714285714,1.499385714285714,934.1428571428572,0.8171428571428571,50.0,-0.1428571428571428,421.21875,-57.0,0.0
Coalición Hispánica #25 - ARAGÓN CONQUISTA MANCHURIA,39,1.21,0.4,8.035069333333333,867.2,2.9804,129.6,0.2,327.9764705882353,0.0,0.0
NOS ATACAN LOS DARK WOLF!!! - Ark ep. 16,1815,10.76,1.9787234042553192,55.4977,999.3404255319148,3.4631914893617024,737.468085106383,1.5106382978723405,1145.3,181.5,363.0
INVADE TROLL PERFECTO - LEAGUE OF LEGENDS,78,2.43,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,244.6590909090909,0.0,0.0
Team Gainz? LoL 29,32,1.39,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,244.6590909090909,0.0,32.0
Gran España - Europa Universalis IV #10 || REBELIONES Y COLONIAS EN AMÉRICA,251,3.57,0.4,8.035069333333333,867.2,2.9804,129.6,0.2,244.6590909090909,0.0,0.0
Empire TW España Darthmod ep. 9,95,3.55,5.384615384615385,123.85656153846156,5924.153846153846,3.209230769230769,3685.923076923077,1.7692307692307692,174.2,0.0,0.0
Tribus Cherokee #15 - Final,34,1.12,0.4,8.035069333333333,867.2,2.9804,129.6,0.2,421.21875,-34.0,0.0
lol alistar support wombo combo #leagueoflegends,2739,2.0,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,0.0,0.0
Esparta #19 - Histórica Fasis,38,1.41,2.8615384615384616,14.001944615384616,4670.507692307692,2.23,793.1846153846154,0.7846153846153846,268.4634146341463,0.0,0.0
Tutorial domando un T-Rex con Crym - How to tame rex Ark ep. 2,202,1.57,1.9787234042553192,55.4977,999.3404255319148,3.4631914893617024,737.468085106383,1.5106382978723405,1145.3,0.0,0.0
Empire TW España Darthmod ep. 10,30,2.57,5.384615384615385,123.85656153846156,5924.153846153846,3.209230769230769,3685.923076923077,1.7692307692307692,174.2,0.0,0.0
Campaña Ironman Castilla EU4 1444 - 1454,30,0.79,0.4,8.035069333333333,867.2,2.9804,129.6,0.2,174.2,0.0,10.0
Otra con el team LoL 3,52,1.53,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1145.3,0.0,52.0
Taming Giganotosaurus - Ark Survival Evolved #17,500,3.54,1.9787234042553192,55.4977,999.3404255319148,3.4631914893617024,737.468085106383,1.5106382978723405,1145.3,0.0,0.0
Napoleón TW España 53 - Asedio de Lemberg,64,3.75,0.6818181818181818,4.698227272727273,2457.090909090909,2.146818181818181,85.06818181818181,0.4318181818181818,174.2,0.0,0.0
FIDDLE INSANE PENTAKILL by Montzyzz,465,1.5,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,0.0,232.5
47ª partida League of Legends - BEST WOMBO COMBO EUW (20:10),28,0.98,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,244.6590909090909,0.0,28.0
Naval Action ep. 2 Conquista de Triangles,2389,8.96,4.181818181818182,97.90134545454544,5874.454545454545,5.493636363636363,760.1818181818181,3.3181818181818183,244.6590909090909,477.8,1194.5
Gran España - Europa Universalis IV #31,70,2.5,0.4,8.035069333333333,867.2,2.9804,129.6,0.2,244.6590909090909,0.0,35.0
Gran España - Europa Universalis IV #26,67,0.0,0.4,8.035069333333333,867.2,2.9804,129.6,0.2,244.6590909090909,0.0,0.0
STAR WARS BATTLEFRONT #3 - GRANADAS A FULL,41,0.57,0.5714285714285714,1.499385714285714,934.1428571428572,0.8171428571428571,50.0,-0.1428571428571428,1145.3,0.0,0.0
Orianna dodges everything - One Hand Mode,27,1.76,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,421.21875,0.0,27.0
Beta privada Imperivm III - Great Battles of Rome HD v1.50 en Steam [2019],4393,7.63,10.0,85.84160588235294,9411.941176470587,7.367058823529412,2500.176470588235,11.0,421.21875,732.1666666666666,337.9230769230769
combo alistar flash q easy,943,3.78,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,943.0,0.0
Próximamente...,36,0.0,1.8,1.76096,2288.6,2.1700000000000004,242.6,0.4,244.6590909090909,0.0,0.0
Gran España - Europa Universalis IV #17 | MELILLA ESPAÑOLA,180,3.32,0.4,8.035069333333333,867.2,2.9804,129.6,0.2,244.6590909090909,0.0,0.0
World of Warships #3 Disfrutando y aprendiendo una vez más del juego,28,1.1,0.1666666666666666,2.59405,177.66666666666666,2.515,58.5,-0.1666666666666666,1145.3,0.0,28.0
Lol Highlights Today ep. 13 - Plays ft. Mbaka,53,3.72,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1299.7551020408164,2.12,53.0
Tribus Cherokee #8 - VOLVEMOS A LA CARGA - Campaña cooperativa - EUIV,44,1.48,0.4,8.035069333333333,867.2,2.9804,129.6,0.2,421.21875,-44.0,0.0
Gran España - Europa Universalis IV #9 || RECUPERACIÓN Y ANEXIÓN DE NAVARRA,216,5.45,0.4,8.035069333333333,867.2,2.9804,129.6,0.2,244.6590909090909,216.0,0.0
( Beta ) SNIPING MONTAGE | Call of Duty Modern Warfare 2,89,2.3,3.142857142857143,2.9787,1025.2857142857142,2.447142857142857,313.57142857142856,4.285714285714286,1299.7551020408164,3.56,0.0
La fuerza de Atenas (Mod de Spartacus Rises - Rome 2 Total War),79,3.34,2.8615384615384616,14.001944615384616,4670.507692307692,2.23,793.1846153846154,0.7846153846153846,1145.3,0.0,0.0
Garen gameplay 4/5,37,1.11,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,88.5,0.0,0.0
COALICIÓN HISPÁNICA #19 - ESPECIAL Germán el Emperador - EUIV,68,2.0,0.4,8.035069333333333,867.2,2.9804,129.6,0.2,327.9764705882353,0.0,0.0
34ª Partida League of Legends - Nautilus Top CC,32,1.43,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,244.6590909090909,0.0,0.0
Napoleón TW España 29 - Marchando sobre media Europa,68,1.1,0.6818181818181818,4.698227272727273,2457.090909090909,2.146818181818181,85.06818181818181,0.4318181818181818,421.21875,0.0,0.0
Sorteo de 2 Claves del Imperivm III v1.50 BETA para Steam,1094,6.81,10.0,85.84160588235294,9411.941176470587,7.367058823529412,2500.176470588235,11.0,421.21875,47.56521739130435,136.75
Easy win LoL 14,198,0.66,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,1145.3,0.0,14.142857142857142
LoL 67 PARTIDA BLUE CON MONTZYZZ + REGALO Y 1VS1 (36:23),27,0.63,0.8141025641025641,3.637442307692308,746.8141025641025,1.714102564102564,453.12820512820514,1.0769230769230769,327.9764705882353,0.0,0.0
